user_id,clinic_id,role_type,first_name,last_name,email,password_hash,created_at,last_login,is_active,failed_login_attempts
U001,C011,Doctor,Murugan,Iyer,murugani@C011.in,pbkdf2_sha256$1200000$KyfDgRLJelYXUHwZ9IyiXF$TZEkMM6PaokpMp5xXlTmOCiKnchNcK9NTnX5SVMtL5E=,2022-10-05 00:00:00+00:00,2026-03-16 22:08:00+00:00,True,0
U002,C047,Doctor,Abirami,Vasudevan,abiramiv@C047.in,pbkdf2_sha256$1200000$KyfDgRLJelYXUHwZ9IyiXF$TZEkMM6PaokpMp5xXlTmOCiKnchNcK9NTnX5SVMtL5E=,2021-09-24 00:00:00+00:00,2026-03-26 23:11:00+00:00,True,1
U003,,Super_Admin,Preethi,Subramanian,preethis@global.in,pbkdf2_sha256$1200000$YLwu3X3jcSsc2jADLORgN0$b9L8TS1T44pHQRxbtjL+bmLcb8lcW3eXLgv+Av+WMww=,2022-06-08 00:00:00+00:00,2026-03-21 16:04:00+00:00,True,0
U004,,Super_Admin,Selvam,Krishnan,selvamk@global.in,pbkdf2_sha256$1200000$YLwu3X3jcSsc2jADLORgN0$b9L8TS1T44pHQRxbtjL+bmLcb8lcW3eXLgv+Av+WMww=,2022-12-20 00:00:00+00:00,2026-03-11 22:18:00+00:00,True,0
U005,C023,Clinic_Admin,Sowmya,Iyer,sowmyai@C023.in,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,2021-10-13 00:00:00+00:00,2026-03-28 11:35:00+00:00,True,3
U006,C022,Doctor,Prabhu,Krishnan,prabhuk@C022.in,pbkdf2_sha256$1200000$KyfDgRLJelYXUHwZ9IyiXF$TZEkMM6PaokpMp5xXlTmOCiKnchNcK9NTnX5SVMtL5E=,2021-07-14 00:00:00+00:00,2026-03-26 06:33:00+00:00,True,0
U007,C015,Doctor,Priya,Chettiar,priyac@C015.in,pbkdf2_sha256$1200000$KyfDgRLJelYXUHwZ9IyiXF$TZEkMM6PaokpMp5xXlTmOCiKnchNcK9NTnX5SVMtL5E=,2021-05-23 00:00:00+00:00,2026-03-22 09:30:00+00:00,True,0
U008,C009,Doctor,Muthu,Subramanian,muthu.subramanian@tnhealthnetwork.in,pbkdf2_sha256$1200000$KyfDgRLJelYXUHwZ9IyiXF$TZEkMM6PaokpMp5xXlTmOCiKnchNcK9NTnX5SVMtL5E=,2021-11-21 00:00:00+00:00,2026-04-04 11:56:00+00:00,True,0
U009,,Super_Admin,Selvam,Iyer,selvam.iyer@tnhealthnetwork.in,pbkdf2_sha256$1200000$YLwu3X3jcSsc2jADLORgN0$b9L8TS1T44pHQRxbtjL+bmLcb8lcW3eXLgv+Av+WMww=,2022-02-11 00:00:00+00:00,2024-03-18 00:00:00+00:00,False,0
U010,C006,Doctor,Vijay,Nair,vijay.nair@tnhealthnetwork.in,pbkdf2_sha256$1200000$KyfDgRLJelYXUHwZ9IyiXF$TZEkMM6PaokpMp5xXlTmOCiKnchNcK9NTnX5SVMtL5E=,2021-01-10 00:00:00+00:00,2026-03-20 18:28:00+00:00,True,0
